S.No,Course Name,SME Name,Institute,Current Duration in weeks,No. of credits,NPTEL URL,Comments,Available for Jan- April 2026,Direct Swayam Link,NPTEL_ID,Available for Jul-Dec 2025
277,Managerial Skills for Interpersonal Dynamics,Prof. Santosh Rangnekar,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107143,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg91/preview,110107143,Yes
278,The English Novel: Interdisciplinary Approaches,Prof. Aruni Mahapatra & Prof. Smita Jha,IIT Roorkee,8,2,https://nptel.ac.in/courses/109107498,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs169/preview,109107498,Yes
279,Korean I,Prof. Soo Jin Shim,IIT Madras,12,3,https://nptel.ac.in/courses/109106499,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs173/preview,109106499,Yes
280,Introduction to Language and Linguistics,"Prof. Dripta Piplai (Mondal)
Prof. Bornini Lahiri",IIT Kharagpur,12,3,https://nptel.ac.in/courses/109105205,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs203/preview,109105205,Yes
281,An Introduction to Indian Literary Theory,Prof. Sreenath V.S,IISER Bhopal,8,2,https://nptel.ac.in/courses/109106195,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs132/preview,109106195,Yes
282,Performance and Reward Management,Prof. Susmita Mukhopadyay,IIT Kharagpur,12,3,https://nptel.ac.in/courses/110105137,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg145/preview,110105137,Yes
283,Strategic Management,Prof. Vinay Sharma,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107509,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg111/preview,110107509,Yes
284,Brand Management,Prof. Abhishek Kumar,"Army Institute of Management, Kolkata",8,2,https://nptel.ac.in/courses/110104167,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg119/preview,110104167,Yes
285,Knowledge Management,Prof. K B L Srivastava,IIT Kharagpur,8,2,https://nptel.ac.in/courses/110105076,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg148/preview,110105076,Yes
286,Business Marketing - Technology Focus,Prof. Jayanta Chatterjee,IIT Kanpur,8,2,https://nptel.ac.in/courses/110104507,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg120/preview,110104507,Yes
287,Advanced Algorithmic Trading and Portfolio Management,Prof. Abhinava Tripathi,IIT Kanpur,8,2,https://nptel.ac.in/courses/110104169,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg118/preview,110104169,Yes
288,Urbanization and Environment,Prof. Jenia Mukherjee,IIT Kharagpur,8,2,https://nptel.ac.in/courses/109105185,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_hs113/preview,109105185,Yes
289,Introduction to GST,Prof. Anil Sharma,The Institute of Cost Accountants of India (ICMAI),8,2,https://nptel.ac.in/courses/110106512,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg109/preview,110106512,Yes
290,Introduction to Film Studies,Prof. Aysha Viswamohan,IIT Madras,12,3,"https://nptel.ac.in/courses/109106079
https://nptel.ac.in/courses/109106170",Added in May 2025,Yes,https://onlinecourses.nptel.ac.in/noc25_hs138/preview,109106079,Yes
291,"Project Management : Planning, Execution, Evaluation and Control",Prof. Sanjib Chowdhury,IIT Kharagpur,8,2,https://nptel.ac.in/courses/110105167,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg127/preview,110105167,Yes
292,Security Analysis & Portfolio Management,Prof. J. P Singh,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107154,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg98/preview,110107154,Yes
293,Quantitative Investment Management,Prof. J. P Singh,IIT Roorkee,12,3,https://nptel.ac.in/courses/110107162,Added in May 2025,No,https://onlinecourses.nptel.ac.in/noc25_mg97/preview,110107162,Yes
